#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                  | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------------------------------------------+----------------+---------------+
| 254227:4201 | 08/13/15 03:37:31 | 180  | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.242          | 0.238         |
| 254231:4201 | 08/13/15 05:14:40 | 24   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.033          | 0.033         |
| 254232:4201 | 08/13/15 05:43:48 | 81   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.110          | 0.109         |
| 254790:4243 | 08/21/15 05:24:04 | 690  | HLT_Dimuon0_Jpsi_Muon_v2                 | 11.689         | 11.415        |
| 254852:4249 | 08/22/15 13:46:23 | 48   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.801          | 0.781         |
| 254879:4254 | 08/23/15 03:34:41 | 88   | HLT_Dimuon0_Jpsi_Muon_v2                 | 1.896          | 1.798         |
| 254905:4256 | 08/23/15 15:00:41 | 204  | HLT_Dimuon0_Jpsi_Muon_v2                 | 4.509          | 4.357         |
| 254906:4256 | 08/23/15 16:23:48 | 75   | HLT_Dimuon0_Jpsi_Muon_v2                 | 1.598          | 1.565         |
| 254907:4256 | 08/23/15 16:55:45 | 52   | HLT_Dimuon0_Jpsi_Muon_v2                 | 1.091          | 1.071         |
| 254914:4257 | 08/23/15 21:02:20 | 46   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.010          | 0.009         |
| 256630:4376 | 09/16/15 12:20:57 | 22   | HLT_Dimuon0_Jpsi_Muon_v2                 | 1.093          | 1.019         |
| 256673:4381 | 09/17/15 01:46:10 | 2    | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.100          | 0.006         |
| 256674:4381 | 09/17/15 01:47:46 | 2    | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.099          | 0.097         |
| 256675:4381 | 09/17/15 01:50:18 | 162  | HLT_Dimuon0_Jpsi_Muon_v2                 | 7.947          | 7.727         |
| 256676:4381 | 09/17/15 02:55:57 | 1086 | HLT_Dimuon0_Jpsi_Muon_v2                 | 47.517         | 45.374        |
| 256677:4381 | 09/17/15 09:59:03 | 479  | HLT_Dimuon0_Jpsi_Muon_v2                 | 18.444         | 16.283        |
| 256729:4384 | 09/17/15 20:25:30 | 1728 | HLT_Dimuon0_Jpsi_Muon_v2                 | 72.592         | 70.149        |
| 256734:4384 | 09/18/15 08:06:26 | 213  | HLT_Dimuon0_Jpsi_Muon_v2                 | 7.724          | 7.533         |
| 256801:4386 | 09/18/15 16:00:07 | 191  | HLT_Dimuon0_Jpsi_Muon_v2                 | 9.618          | 9.289         |
| 256842:4391 | 09/19/15 06:58:19 | 2    | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.094          | 0.018         |
| 256843:4391 | 09/19/15 07:02:10 | 1320 | HLT_Dimuon0_Jpsi_Muon_v2                 | 54.583         | 53.086        |
| 256866:4393 | 09/19/15 22:02:52 | 14   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.758          | 0.060         |
| 256867:4393 | 09/19/15 22:11:45 | 94   | HLT_Dimuon0_Jpsi_Muon_v2                 | 5.021          | 4.884         |
| 256868:4393 | 09/19/15 22:55:07 | 487  | HLT_Dimuon0_Jpsi_Muon_v2                 | 24.598         | 23.677        |
